order_id,price,discount_rate,total_amount,notes
ORD0000134,4278.59,42.7,11578.81,빠른배송
ORD0000135,4213.05,13.7,4836.67,배송전연락
ORD0000136,1110.69,3.9,8738.26,배송전연락
ORD0000137,946.48,6.6,4796.46,빠른배송
ORD0000138,2088.00,31.2,4313.14,정상주문
ORD0000139,8038.25,44.0,7135.89,빠른배송
ORD0000140,2738.62,17.3,6282.70,정상주문
ORD0000141,6564.36,12.7,1625.65,카드결제
ORD0000142,6039.70,48.0,8042.41,카드결제
ORD0000143,9935.86,46.9,14245.98,정상주문
ORD0000144,7396.14,13.2,8283.81,카드결제
ORD0000145,6186.47,13.5,4769.47,선물포장
ORD0000146,8859.23,18.2,8792.79,정상주문
ORD0000147,8273.00,0.8,14249.51,빠른배송
ORD0000148,7011.47,34.2,2781.92,카드결제
ORD0000149,5991.07,9.6,10075.42,빠른배송
ORD0000150,6234.36,32.4,7868.31,빠른배송
ORD0000151,6765.49,47.6,5755.58,카드결제
ORD0000152,1522.12,32.8,9838.42,빠른배송
ORD0000153,6898.55,6.9,5657.22,배송전연락
ORD0000154,8641.73,21.1,4178.46,배송전연락
ORD0000155,657.71,15.0,9773.03,선물포장
ORD0000156,3838.59,27.1,10478.99,카드결제
ORD0000157,6124.10,19.2,10139.54,카드결제
ORD0000158,2886.53,28.1,12465.64,선물포장
ORD0000159,6466.80,9.8,4687.87,빠른배송
ORD0000160,3719.59,7.2,6291.58,카드결제
ORD0000161,2364.63,46.6,4734.27,정상주문
ORD0000162,7270.54,7.5,2438.36,빠른배송
ORD0000163,8920.45,41.3,1584.44,빠른배송
ORD0000164,1620.10,5.1,7817.25,정상주문
ORD0000165,8730.00,15.3,1657.15,배송전연락
ORD0000166,3129.13,40.1,13153.40,배송전연락
ORD0000167,2696.90,12.3,12563.73,배송전연락
ORD0000168,9934.25,7.6,13264.66,정상주문
ORD0000169,7055.97,25.5,6070.38,정상주문
ORD0000170,1745.93,5.6,3741.21,카드결제
ORD0000171,757.05,4.2,9964.79,카드결제
ORD0000172,2660.43,47.6,8395.19,선물포장
ORD0000173,5031.05,10.5,13252.25,정상주문
ORD0000174,1170.35,45.5,2171.30,정상주문
ORD0000175,3441.64,34.3,10011.49,정상주문
ORD0000176,485.49,8.2,259.06,정상주문
ORD0000177,6561.72,13.9,3761.60,카드결제
ORD0000178,4398.79,41.8,1714.55,정상주문
ORD0000179,3756.66,9.9,7676.22,배송전연락
ORD0000180,5855.65,38.6,991.22,선물포장
ORD0000181,8264.96,40.2,2749.86,정상주문
ORD0000182,7232.02,16.0,10115.11,정상주문
ORD0000183,3493.49,48.0,6898.98,정상주문
ORD0000184,425.63,39.8,6210.43,카드결제
ORD0000185,8735.14,5.3,4427.07,선물포장
ORD0000186,4408.94,30.9,7933.36,빠른배송
ORD0000187,9796.29,36.4,6734.53,빠른배송
ORD0000188,3477.86,8.4,3286.03,선물포장
ORD0000189,7083.38,45.8,14582.74,정상주문
ORD0000190,2031.08,26.8,9064.47,선물포장
ORD0000191,6890.37,18.3,299.52,정상주문
ORD0000192,6257.16,11.8,285.32,빠른배송
ORD0000193,2060.91,44.9,6607.97,선물포장
ORD0000194,6686.85,6.2,3498.23,빠른배송
ORD0000195,2049.57,28.9,6448.20,빠른배송
ORD0000196,1351.97,26.5,12056.29,카드결제
ORD0000197,2805.61,23.1,7706.27,정상주문
ORD0000198,6778.02,21.9,9990.04,빠른배송
ORD0000199,2225.49,33.1,13247.16,배송전연락
ORD0000200,3416.73,30.7,13925.53,배송전연락
ORD0000201,9041.14,38.6,10144.55,선물포장
ORD0000202,8633.99,37.0,6061.39,정상주문
ORD0000203,1846.57,15.3,1606.27,정상주문
ORD0000204,9240.61,19.7,7928.00,카드결제
ORD0000205,7385.60,0.7,4091.94,빠른배송
ORD0000206,5418.64,41.1,5848.61,카드결제
ORD0000207,498.11,30.5,12570.33,정상주문
ORD0000208,2333.45,41.4,1550.13,선물포장
ORD0000209,3519.10,26.9,8228.76,빠른배송
ORD0000210,1350.35,33.7,14919.42,배송전연락
ORD0000211,1750.18,39.0,578.81,배송전연락
ORD0000212,1253.25,16.7,8460.24,선물포장
ORD0000213,7102.62,9.9,6033.28,배송전연락
ORD0000214,1027.31,36.5,12307.58,배송전연락
ORD0000215,541.61,22.5,8525.56,카드결제
ORD0000216,4544.59,31.1,3561.14,선물포장
ORD0000217,7056.77,16.7,8950.77,카드결제
ORD0000218,782.55,36.3,13686.46,배송전연락
ORD0000219,7491.20,36.7,8787.61,정상주문
ORD0000220,1900.06,31.9,9771.73,빠른배송
ORD0000221,5838.15,30.7,2279.39,카드결제
ORD0000222,6365.18,12.7,12204.60,카드결제
ORD0000223,688.92,48.5,6830.04,배송전연락
ORD0000224,3367.91,24.7,10826.57,정상주문
ORD0000225,3548.11,43.3,7490.56,카드결제
ORD0000226,5990.41,37.2,611.58,카드결제
ORD0000227,2164.18,7.5,1735.37,선물포장
ORD0000228,5574.41,16.4,13560.67,배송전연락
ORD0000229,8791.62,39.4,5104.81,배송전연락
ORD0000230,2384.41,8.5,2090.98,배송전연락
ORD0000231,588.73,18.4,6816.85,빠른배송
ORD0000232,8037.72,11.6,4909.17,배송전연락
ORD0000233,9202.75,40.3,12328.48,카드결제
ORD0000234,7737.06,37.6,14482.51,배송전연락
ORD0000235,6936.62,21.2,8085.81,선물포장
ORD0000236,2702.17,38.0,13315.02,빠른배송
ORD0000237,6716.30,38.5,12216.53,배송전연락
ORD0000238,6421.38,5.7,6017.89,배송전연락
ORD0000239,9749.13,3.5,12297.83,선물포장
ORD0000240,7656.54,45.8,847.28,빠른배송
ORD0000241,5788.75,8.4,13582.34,빠른배송
ORD0000242,4047.98,20.1,1260.59,정상주문
ORD0000243,5742.44,23.4,6704.59,배송전연락
ORD0000244,4761.28,23.6,4527.29,빠른배송
ORD0000245,9800.55,6.2,8258.82,빠른배송
ORD0000246,8078.74,11.6,14697.00,카드결제
ORD0000247,8621.73,13.4,6292.35,카드결제
ORD0000248,6876.05,47.4,3452.57,빠른배송
ORD0000249,5806.82,33.3,9380.72,카드결제
ORD0000250,7293.78,23.2,5746.88,카드결제
ORD0000251,9592.30,4.2,3799.10,배송전연락
ORD0000252,670.25,29.3,3062.46,빠른배송
ORD0000253,1917.50,7.7,3097.91,카드결제
ORD0000254,9084.35,6.6,12666.44,배송전연락
ORD0000255,3727.71,25.6,4422.57,빠른배송
ORD0000256,8492.45,48.0,12057.69,빠른배송
ORD0000257,2838.26,36.8,5637.06,정상주문
ORD0000258,2264.39,9.4,11724.36,배송전연락
ORD0000259,8907.91,38.0,10391.17,배송전연락
ORD0000260,3586.81,45.0,12952.19,정상주문
ORD0000261,2258.29,43.4,9284.38,배송전연락
ORD0000262,1056.41,30.2,10655.93,선물포장
ORD0000263,9353.44,26.9,10775.84,빠른배송
ORD0000264,3125.48,40.3,95.31,배송전연락
ORD0000265,7466.48,44.3,5377.99,선물포장
ORD0000266,9617.23,19.9,602.13,빠른배송
ORD0000267,5394.04,17.6,11302.89,배송전연락
ORD0000268,8699.29,47.5,8606.20,정상주문
ORD0000269,9592.40,32.6,1596.50,선물포장
ORD0000270,3367.77,20.5,13157.36,빠른배송
ORD0000271,5922.31,4.3,14524.55,정상주문
ORD0000272,4541.47,41.2,7941.96,카드결제
ORD0000273,7728.97,5.0,1775.88,정상주문
ORD0000274,7909.56,21.0,3159.57,정상주문
ORD0000275,9423.16,1.3,8063.16,정상주문
ORD0000276,4369.50,6.1,12652.26,카드결제
ORD0000277,9868.45,27.4,2496.09,선물포장
ORD0000278,9724.85,12.1,2938.71,카드결제
ORD0000279,2709.06,38.0,11441.12,카드결제
ORD0000280,4686.14,11.3,7978.11,카드결제
ORD0000281,1041.28,43.2,82.47,정상주문
ORD0000282,2284.81,27.7,9992.08,정상주문
ORD0000283,6427.41,22.9,8750.57,카드결제
ORD0000284,9417.92,47.0,4578.74,정상주문
ORD0000285,2472.16,44.3,3463.58,배송전연락
ORD0000286,2403.26,42.5,9091.41,정상주문
ORD0000287,822.71,25.2,633.09,선물포장
ORD0000288,2941.89,2.1,12822.99,배송전연락
ORD0000289,4282.59,16.0,4884.99,정상주문
ORD0000290,1423.00,26.4,3184.07,배송전연락
ORD0000291,3230.94,7.3,5251.32,정상주문
ORD0000292,5696.10,21.8,14504.42,카드결제
ORD0000293,8734.14,6.2,4886.49,빠른배송
ORD0000294,2547.29,26.5,8166.44,정상주문
ORD0000295,1016.29,42.9,8513.99,선물포장
ORD0000296,8759.86,31.9,7532.49,배송전연락
ORD0000297,3578.47,12.6,3041.03,배송전연락
ORD0000298,4882.97,49.3,7582.67,배송전연락
ORD0000299,2942.53,21.8,2564.29,선물포장
ORD0000300,4927.74,48.7,1716.01,선물포장
ORD0000301,2177.06,44.5,2861.60,카드결제
ORD0000302,5849.57,27.0,14444.08,선물포장
ORD0000303,8491.39,23.0,13944.34,빠른배송
ORD0000304,8655.79,49.3,10992.01,빠른배송
ORD0000305,8305.92,21.1,7313.07,빠른배송
ORD0000306,6201.26,36.9,8793.83,선물포장
ORD0000307,5753.86,42.1,10306.21,선물포장
ORD0000308,2896.09,33.2,4016.52,선물포장
ORD0000309,7149.84,5.6,14466.85,정상주문
ORD0000310,6071.48,40.1,1711.68,선물포장
ORD0000311,2669.45,37.7,14840.28,정상주문
ORD0000312,6106.90,32.4,12536.12,빠른배송
ORD0000313,2834.77,41.8,3030.55,배송전연락
ORD0000314,3985.19,30.0,2937.72,배송전연락
ORD0000315,3190.83,37.9,14759.95,선물포장
ORD0000316,7834.35,48.1,2686.02,배송전연락
ORD0000317,3237.35,48.1,2561.91,배송전연락
ORD0000318,9989.93,41.8,6987.08,정상주문
ORD0000319,7797.03,45.9,1836.69,정상주문
ORD0000320,2777.58,23.6,7751.86,카드결제
ORD0000321,4780.96,0.4,3689.64,선물포장
ORD0000322,3547.35,26.6,7786.05,선물포장
ORD0000323,5681.37,3.3,2287.15,카드결제
ORD0000324,5475.29,31.3,4589.30,배송전연락
ORD0000325,2393.11,39.3,1977.79,배송전연락
ORD0000326,3601.74,19.7,5291.83,정상주문
ORD0000327,6006.25,38.4,6146.34,카드결제
ORD0000328,7508.10,28.9,11682.30,선물포장
ORD0000329,1241.10,39.9,12513.95,빠른배송
ORD0000330,4915.44,23.7,1102.70,정상주문
ORD0000331,9252.77,21.9,423.83,빠른배송
ORD0000332,5677.44,28.3,13764.62,정상주문
ORD0000333,3578.41,32.7,14876.42,선물포장
ORD0000334,6486.17,34.6,2663.64,정상주문
ORD0000335,3535.35,16.4,7274.55,카드결제
ORD0000336,7911.97,30.0,9879.94,빠른배송
ORD0000337,6258.63,18.8,11379.68,카드결제
ORD0000338,2244.93,49.6,8981.24,빠른배송
ORD0000339,5392.41,49.2,9345.38,선물포장
ORD0000340,8028.13,19.6,508.99,카드결제
ORD0000341,7409.74,43.5,3775.64,빠른배송
ORD0000342,9750.11,17.8,7298.26,선물포장
ORD0000343,3246.35,4.1,12133.28,빠른배송
ORD0000344,9348.33,18.0,8596.43,빠른배송
ORD0000345,8126.85,40.0,802.53,정상주문
ORD0000346,3489.18,20.9,5582.82,빠른배송
ORD0000347,2718.43,11.8,955.42,빠른배송
ORD0000348,322.48,27.9,2881.48,선물포장
ORD0000349,5449.07,44.3,11399.51,정상주문
ORD0000350,4122.77,23.4,2664.13,정상주문
ORD0000351,8526.55,33.3,2474.22,정상주문
ORD0000352,3319.94,7.0,9107.31,빠른배송
ORD0000353,4366.48,10.9,4688.39,정상주문
ORD0000354,4168.89,16.0,9644.00,배송전연락
ORD0000355,3072.25,43.5,1397.69,배송전연락
ORD0000356,8871.52,40.9,2288.99,정상주문
ORD0000357,4906.59,21.3,8999.71,선물포장
ORD0000358,7111.79,37.0,8533.62,카드결제
ORD0000359,6948.90,4.8,9814.29,카드결제
ORD0000360,1221.05,2.5,4700.58,빠른배송
ORD0000361,671.90,39.1,2914.17,배송전연락
ORD0000362,4529.39,30.3,9149.87,정상주문
ORD0000363,1420.87,10.6,14230.84,선물포장
ORD0000364,6582.02,6.3,11849.92,정상주문
ORD0000365,2043.96,20.3,13415.20,선물포장
ORD0000366,9173.20,11.3,14410.27,배송전연락
ORD0000367,6056.22,18.9,12514.91,빠른배송
ORD0000368,8415.38,3.9,8947.70,빠른배송
ORD0000369,7451.84,36.8,4582.72,빠른배송
ORD0000370,8011.26,15.1,4655.22,정상주문
ORD0000371,2465.92,27.4,14445.07,정상주문
ORD0000372,5722.13,2.2,14264.21,선물포장
ORD0000373,6694.07,41.1,6573.72,배송전연락
ORD0000374,116.60,43.5,3734.28,선물포장
ORD0000375,1393.77,45.4,330.43,카드결제
ORD0000376,2184.75,14.7,12983.83,선물포장
ORD0000377,8699.62,24.2,13803.23,카드결제
ORD0000378,4288.71,24.5,6389.02,선물포장
ORD0000379,5355.14,34.1,3111.98,카드결제
ORD0000380,2959.59,37.6,12463.89,정상주문
ORD0000381,4053.18,25.7,1222.05,배송전연락
ORD0000382,7434.36,45.8,7655.54,선물포장
ORD0000383,7021.50,22.2,2829.39,정상주문
ORD0000384,7580.77,39.7,9309.71,카드결제
ORD0000385,4924.75,15.2,9162.42,카드결제
ORD0000386,2705.29,22.1,11326.17,정상주문
ORD0000387,8999.55,34.5,11050.56,배송전연락
ORD0000388,3778.26,3.8,9563.39,선물포장
ORD0000389,9408.01,28.1,2646.05,빠른배송
ORD0000390,9717.10,42.2,13151.96,배송전연락
ORD0000391,6140.00,0.7,319.39,정상주문
ORD0000392,456.71,2.8,1390.89,빠른배송
ORD0000393,2449.52,46.9,14740.85,선물포장
ORD0000394,914.29,0.2,4222.76,빠른배송
ORD0000395,6781.78,47.2,6332.84,카드결제
ORD0000396,2598.51,40.8,14573.74,배송전연락
ORD0000397,4918.93,8.3,615.56,정상주문
ORD0000398,2365.55,27.5,9812.00,빠른배송
ORD0000399,6791.40,17.8,4243.52,카드결제
ORD0000400,3274.79,13.7,12221.88,배송전연락
ORD0000401,2410.77,29.9,14710.34,정상주문
ORD0000402,6407.95,2.9,5827.35,배송전연락
ORD0000403,4771.45,7.8,2380.39,배송전연락
ORD0000404,5830.43,30.8,3271.47,배송전연락
ORD0000405,5857.73,1.9,1356.74,카드결제
ORD0000406,3084.95,1.8,13407.74,선물포장
ORD0000407,9840.28,31.6,2021.97,정상주문
ORD0000408,3532.42,44.4,10873.43,정상주문
ORD0000409,7626.77,43.1,236.68,카드결제
ORD0000410,8010.25,34.6,3273.65,빠른배송
ORD0000411,8096.01,12.9,234.77,선물포장
ORD0000412,8350.03,36.2,6437.91,선물포장
ORD0000413,4537.04,1.9,13893.83,배송전연락
ORD0000414,4811.83,24.8,12121.38,배송전연락
ORD0000415,9983.68,36.3,9549.08,배송전연락
ORD0000416,391.89,17.9,10642.26,빠른배송
ORD0000417,3043.26,38.8,3283.17,카드결제
ORD0000418,9756.13,2.3,5708.27,배송전연락
ORD0000419,5789.29,13.6,3465.86,배송전연락
ORD0000420,7990.76,3.0,1489.53,카드결제
ORD0000421,1071.35,47.8,6118.23,배송전연락
ORD0000422,5608.91,18.5,14173.63,빠른배송
ORD0000423,9564.80,36.2,13005.77,정상주문
ORD0000424,7699.56,35.2,12564.16,선물포장
ORD0000425,5705.17,22.3,4148.49,배송전연락
ORD0000426,8329.84,0.6,6133.09,배송전연락
ORD0000427,5026.54,18.5,6943.59,카드결제
ORD0000428,821.20,5.5,6335.69,카드결제
ORD0000429,6960.96,15.5,11702.88,선물포장
ORD0000430,6643.74,37.4,9133.38,카드결제
ORD0000431,8677.68,43.3,11583.06,선물포장
ORD0000432,3911.39,5.9,2759.17,카드결제
ORD0000433,4748.29,25.4,13676.38,정상주문
ORD0000434,3719.00,30.8,6265.03,정상주문
ORD0000435,9363.21,27.0,8409.23,빠른배송
ORD0000436,4912.52,33.8,12679.35,카드결제
ORD0000437,1752.85,19.9,13514.78,정상주문
ORD0000438,9510.19,16.8,13208.63,배송전연락
ORD0000439,9223.80,3.7,14951.54,정상주문
ORD0000440,3034.10,16.6,5979.76,카드결제
ORD0000441,9419.40,30.0,14361.68,배송전연락
ORD0000442,4152.99,44.7,5646.20,카드결제
ORD0000443,1926.35,35.4,7476.42,배송전연락
ORD0000444,5789.62,23.1,12663.19,정상주문
ORD0000445,9123.31,47.9,2720.39,빠른배송
ORD0000446,2065.54,24.4,7309.21,선물포장
ORD0000447,5237.46,7.8,12451.98,배송전연락
ORD0000448,6267.69,37.2,13390.19,배송전연락
ORD0000449,8167.76,12.9,9560.89,카드결제
ORD0000450,1209.22,20.1,3741.00,선물포장
ORD0000451,8578.36,25.4,928.83,카드결제
ORD0000452,5495.51,41.3,8667.00,정상주문
ORD0000453,5342.09,10.5,14227.21,정상주문
ORD0000454,5965.10,39.0,2812.97,배송전연락
ORD0000455,5109.26,21.8,9857.15,카드결제
ORD0000456,6036.48,26.2,8653.55,정상주문
ORD0000457,3260.32,3.1,5875.15,빠른배송
ORD0000458,3646.68,14.6,1542.11,빠른배송
ORD0000459,6165.26,10.5,5339.44,배송전연락
ORD0000460,5707.57,19.5,9449.20,빠른배송
ORD0000461,8791.34,5.1,8057.47,배송전연락
ORD0000462,3962.63,40.2,8925.44,선물포장
ORD0000463,4624.31,46.9,8335.10,배송전연락
ORD0000464,558.97,11.4,5359.23,선물포장
ORD0000465,4991.82,26.1,6747.37,배송전연락
ORD0000466,7473.76,9.9,3185.73,정상주문
ORD0000467,805.76,5.1,9438.49,배송전연락
ORD0000468,5641.84,22.8,4710.15,빠른배송
ORD0000469,9513.74,42.1,7597.04,배송전연락
ORD0000470,5160.07,7.2,11544.91,빠른배송
ORD0000471,4330.98,46.8,2238.69,카드결제
ORD0000472,3215.57,41.3,7290.95,카드결제
ORD0000473,2636.03,41.6,14932.53,배송전연락
ORD0000474,5855.69,25.7,12391.66,선물포장
ORD0000475,3466.21,3.8,8047.16,정상주문
ORD0000476,5655.84,40.6,13667.49,카드결제
ORD0000477,4223.59,21.1,10886.95,정상주문
ORD0000478,9726.76,32.0,4611.97,선물포장
ORD0000479,2437.75,38.9,4282.31,카드결제
ORD0000480,1011.50,23.4,6011.47,선물포장
ORD0000481,6721.00,40.3,13836.67,선물포장
ORD0000482,238.90,29.0,12264.57,선물포장
ORD0000483,7944.81,34.4,6415.38,빠른배송
ORD0000484,3519.92,46.7,4157.29,배송전연락
ORD0000485,3891.87,27.7,2778.13,빠른배송
ORD0000486,4981.00,40.3,10918.62,선물포장
ORD0000487,4362.88,27.1,1803.78,빠른배송
ORD0000488,1903.50,35.8,12339.34,선물포장
ORD0000489,7079.80,18.2,7304.24,빠른배송
ORD0000490,8485.98,47.2,7541.12,카드결제
ORD0000491,3989.77,44.4,9925.64,카드결제
ORD0000492,5934.40,8.0,2798.05,배송전연락
ORD0000493,3467.52,5.3,8926.71,빠른배송
ORD0000494,7329.72,13.3,14707.84,카드결제
ORD0000495,3645.73,0.1,13823.40,빠른배송
ORD0000496,5460.01,11.9,2184.96,빠른배송
ORD0000497,4343.01,10.0,881.40,정상주문
ORD0000498,7456.20,32.6,6669.37,배송전연락
ORD0000499,4096.11,20.9,8712.18,선물포장
ORD0000500,9425.75,29.1,10235.25,카드결제
ORD0000501,8967.60,39.8,11135.86,배송전연락
ORD0000502,212.61,17.9,12411.22,정상주문
ORD0000503,3522.09,34.8,1742.21,정상주문
ORD0000504,2319.91,43.5,11079.88,선물포장
ORD0000505,6775.40,11.0,10285.26,선물포장
ORD0000506,335.03,23.5,9730.61,빠른배송
ORD0000507,9521.94,10.7,11914.32,배송전연락
ORD0000508,2590.46,26.1,13835.19,배송전연락
ORD0000509,5401.77,23.9,8604.49,선물포장
ORD0000510,9928.16,3.7,9559.72,선물포장
ORD0000511,8346.42,17.2,7572.97,선물포장
ORD0000512,437.49,48.5,7486.47,선물포장
ORD0000513,1631.08,15.5,11616.37,빠른배송
ORD0000514,3069.25,23.3,3727.50,빠른배송
ORD0000515,7175.64,37.9,11579.46,배송전연락
ORD0000516,9393.43,36.6,9539.70,빠른배송
ORD0000517,2478.99,35.8,2879.43,정상주문
ORD0000518,2348.63,45.8,11530.74,배송전연락
ORD0000519,9734.23,10.0,1248.11,정상주문
ORD0000520,161.73,33.5,9052.77,선물포장
ORD0000521,1338.69,27.5,10723.79,카드결제
ORD0000522,5128.46,21.8,7264.17,정상주문
ORD0000523,703.28,42.7,4398.47,정상주문
ORD0000524,5089.45,40.5,8678.08,빠른배송
ORD0000525,3659.65,2.6,13010.28,빠른배송
ORD0000526,1839.78,21.5,1096.32,선물포장
ORD0000527,2828.63,9.4,6597.27,빠른배송
ORD0000528,2741.90,39.7,13358.64,배송전연락
ORD0000529,3167.75,13.5,12814.20,정상주문
ORD0000530,1440.99,9.2,9018.91,배송전연락
ORD0000531,1145.98,0.6,156.82,빠른배송
