inputs,outputs
0.2429,-0.009506701
0.3401,0.046064221
0.9139,0.425655503
0.8081,0.367732953
0.3155,0.019942167
0.2244,0.055614227
0.6266,0.214401301
0.0242,-0.02517321
0.0446,-0.063891069
0.4662,-0.014416382
0.8666,0.298658179
0.8591,0.199241122
0.6033,-0.003106432
0.3665,-0.091767197
0.2286,-0.145601105
0.6805,0.067202566
0.7551,0.185236058
0.5403,0.053531945
0.4782,-0.140939164
0.9434,0.644800632
0.4146,0.089843151
0.0216,0.106629541
0.3712,-0.154856435
0.2568,-0.14218873
0.303,-0.025296472
0.2388,-0.054921086
0.7572,0.254076868
0.3695,-0.064569678
0.084,0.038332805
0.7329,0.256158985
0.5398,0.039523433
0.5748,-0.124121099
0.2451,-0.090388198
0.442,0.085262911
0.9475,0.554276378
0.0588,-0.142691398
0.4468,-0.071918109
0.3327,-0.060191237
0.0939,0.17858224
0.5421,-0.150534961
0.1121,-0.019248268
0.3536,-0.12224912
0.2974,-0.152227874
0.2516,-0.121787995
0.2329,-0.060065703
0.9536,0.427091231
0.0871,0.108741842
0.3235,0.019911318
0.0634,-0.011700176
0.7488,-0.040077723
0.0692,0.043367792
0.6416,0.102746548
0.4268,-0.115409315
0.806,0.086278386
0.5688,0.0917491
0.5138,-0.059433783
0.9397,0.462168019
0.8194,0.156912991
0.8947,0.360995565
0.7297,0.246612779
0.2858,-0.315585132
0.2048,-0.077056649
0.9327,0.532136566
0.0263,-0.071688046
0.4203,-0.040881637
0.0981,0.169021006
0.0435,-0.018069012
0.443,-0.080221911
0.9138,0.444968833
0.1108,0.030626844
0.1171,0.12680019
0.3143,0.007139114
0.5454,-0.060979923
0.7755,0.16443168
0.5371,-0.190046313
0.7708,0.258926872
0.9455,0.394595348
0.0437,-0.055414045
0.9592,0.530111763
0.6104,0.155971797
0.4633,-0.092368969
0.3494,-0.044025504
0.0527,0.182711087
0.7463,0.113751028
0.1407,-0.191207976
0.7409,0.078398874
0.5978,-0.074972699
0.3173,-0.125537449
0.8637,0.295689423
0.8058,0.328430039
0.2319,0.025555715
0.2555,0.035878827
0.6598,0.161875027
0.7532,0.257508621
0.23,-0.033453629
0.319,-0.172847021
0.15,-0.041792326
0.6195,-0.083691821
0.7039,-0.026213213
0.6185,-0.031233774
0.3887,-0.043612991
0.3158,-0.057510045
0.5396,-0.092314016
0.9169,0.545087817
0.8481,0.264445196
0.2633,-0.099825431
0.7401,0.318306558
0.0799,-0.082121353
0.5042,-0.084054503
0.6424,0.018561602
0.335,0.03548319
0.3689,-0.23781336
0.5537,-0.297957134
0.3788,0.066999996
0.0418,-0.108484032
0.3918,-0.081756708
0.548,-0.125421918
0.0343,-0.149854698
0.1685,0.106174108
0.4408,-0.07651028
0.5149,0.230166882
0.5926,-0.093003939
0.2051,-0.03948482
0.3589,-0.082779691
0.7539,0.317316048
0.2223,-0.24861475
0.3389,-0.2182216
0.5891,-0.053359803
0.2118,-0.042964536
0.8434,0.318452896
0.0055,0.003052691
0.4905,-0.04787614
0.8027,0.269139026
0.7074,0.021587305
0.8404,0.16221987
0.7725,0.155250585
0.9472,0.397237592
0.8672,0.207103454
0.1969,0.057221231
0.6425,-0.004754466
0.1246,-0.091246972
0.4889,0.058754499
0.3564,0.051823774
0.1055,-0.074292128
0.38,-0.096502145
0.5711,-0.018125873
0.2506,-0.112401363
0.1462,0.106461044
0.3492,-0.018057261
0.7034,-0.052774583
0.2532,0.003321147
0.19,0.005091794
0.6222,0.151784121
0.9293,0.411303883
0.2946,-0.061844875
0.004,-0.011520513
0.5587,0.043576623
0.2441,-0.034467792
0.3302,-0.069032894
0.3091,-0.034584493
0.067,0.101865921
0.597,0.192621031
0.3058,-0.07763039
0.3881,0.074200404
0.7898,0.153928262
0.1141,-0.004090101
0.244,0.1378962
0.1737,-0.004109972
0.8009,0.220249058
0.4127,-0.124475251
0.5268,-0.041500523
0.9605,0.42168494
0.5858,0.058602553
0.5772,-0.006706924
0.9252,0.266572599
0.7072,0.16831275
0.0612,-0.202504268
0.8729,0.2785881
0.1605,-0.194343515
0.5676,0.17981848
0.0525,-0.00315979
0.596,-0.038609077
0.0447,-0.159621788
0.7286,-0.009671647
0.6473,0.038733945
0.3792,-0.128706419
0.024,0.032142706
0.8323,0.132401849
0.8258,0.205314157
0.7464,0.172724335
0.8217,0.166946444
0.8649,0.433901414
0.7411,0.044513184
0.24,0.018192996
0.8987,0.558430011
0.0666,-0.044617755
0.0246,-0.179741988
0.6651,0.073740598
0.731,0.127824485
0.1253,0.188636353
0.8883,0.360851292
0.6777,0.225205245
0.5952,0.005289129
0.5499,-0.027803811
0.7991,0.141955092
0.9952,0.609732203
0.3378,-0.04335507
0.805,-0.008188461
0.0908,-0.043600769
0.8092,0.137523304
0.3456,-0.164255682
0.1076,0.211440531
0.5027,-0.132411114
0.5759,-0.03871788
0.9477,0.529074141
0.1599,0.020074179
0.7305,0.071298851
0.0722,0.075663066
0.457,-0.170743561
0.9691,0.405089667
0.0051,0.232008482
0.8231,0.121684738
0.1272,0.161661709
0.1045,-0.046411461
0.1938,-0.104893893
0.7053,0.019275366
0.834,0.418078363
0.3602,-0.054268498
0.3976,0.018647625
0.8995,0.356948979
0.8101,0.162304939
0.6926,-0.007962863
0.9817,0.423252365
0.1673,0.059015984
0.3188,-0.125227295
0.6671,0.044893706
0.3926,0.1005402
0.9522,0.623342403
0.8873,0.53977058
0.4922,0.022904444
0.6216,-0.06797922
0.5365,0.016016164
0.4981,-0.30001026
0.0023,0.103310889
0.8218,0.274833327
0.8247,0.393020413
0.4297,-0.098202595
0.7285,0.02998828
0.5379,-0.05061115
0.1535,0.064681282
0.4402,-0.107788221
0.1645,-0.018690889
0.0465,-0.055471128
0.1904,-0.045880066
0.7593,0.022950191
0.113,-0.049840633
0.6147,0.347044591
0.0061,-0.00205223
0.054,0.053835897
0.2237,0.022319952
0.6867,0.014113192
0.2931,-0.138397994
0.7066,0.108632969
0.4405,-0.044670234
0.8613,0.399857876
0.9448,0.370805029
0.7361,0.21942454
0.7035,0.104561555
0.5316,0.034470245
0.0732,-0.123802683
0.3073,-0.013342642
0.1608,0.035454329
0.9923,0.634331948
0.0372,-0.061781008
0.6466,0.022030769
0.8507,0.473844231
0.1964,-0.039623107
0.5347,-0.088565618
0.5382,-0.024507423
0.93,0.476863022
0.9036,0.362265866
0.7878,0.177398168
0.7753,0.047275248
0.1752,-0.048256884
0.0033,0.14975958
0.852,0.470298189
0.8003,0.286674687
0.5257,-0.042685978
0.9284,0.511052808
0.7552,0.279414773
0.0637,0.008296758
0.6704,-0.003401006
0.2841,0.004660621
0.2773,-0.031441051
0.6289,-0.029893805
0.3783,-0.008145508
0.4834,-0.157926543
0.6953,0.005655215
0.1006,-0.048575149
0.659,0.040797293
0.8772,0.301080976
0.9749,0.311432928
0.7326,0.162974843
0.361,-0.0713807
0.0636,0.001284073
0.099,-0.043999521
0.5158,-0.020870712
0.4274,-0.189569131
0.3283,-0.120795382
0.3467,-0.032075144
0.3365,-0.280228534
0.2309,-0.088487818
0.74,0.200092543
0.7697,0.067235568
0.2103,-0.250681696
0.9636,0.439379251
0.3339,-0.039580955
0.2219,-0.081418023
0.6436,0.094095254
0.492,-0.065949185
0.655,-0.067503174
0.4373,-0.026383241
0.0504,-0.007539205
0.16,-0.189469372
0.9885,0.674133584
0.6361,-0.107883486
0.9597,0.49476458
0.2003,0.147255681
0.1274,-0.008791837
0.8688,0.265749233
0.7956,0.143510995
0.7623,0.195322302
0.6612,-0.009999268
0.4735,0.142406433
0.8806,0.340527978
0.6264,0.123291465
0.3979,0.016811539
0.9231,0.381565657
0.537,-0.06625511
0.093,-0.175348176
0.8412,0.199936275
0.0533,0.068109672
0.4151,0.020860707
0.9375,0.39324705
0.8931,0.302521176
0.4793,-0.046632236
0.9358,0.506287358
0.1831,0.00901282
0.5517,0.114426623
0.9223,0.46091759
0.9178,0.437281447
0.011,-0.049267659
0.2715,0.061216038
0.9854,0.552480245
0.7194,0.031722943
0.9725,0.672452846
0.5484,-0.05929857
0.4487,0.083734986
0.9969,0.647263769
0.4391,-0.017602574
0.4779,-0.090652557
0.309,-0.210157631
0.7228,0.117185686
0.7407,-0.185384645
0.8974,0.366067466
0.282,0.069808913
0.5928,-0.188275171
0.3067,-0.07069301
0.4383,0.038759078
0.578,-0.119217089
0.7206,0.050952377
0.2611,-0.030885352
0.3756,0.009573716
0.1029,-0.080591126
0.0837,-0.06167191
0.9454,0.636399973
0.2824,0.00852923
0.619,-0.121163122
0.5999,-0.023242986
0.6199,0.124521115
0.1571,0.117616907
0.3632,0.130882374
0.0209,-0.028499791
0.6595,-0.2183878
0.065,0.200750005
0.2764,-0.019546714
0.3528,0.066434203
0.4053,0.084676276
0.1566,-0.156460083
0.0325,-0.04196319
0.5963,0.198276777
0.3036,-0.011821252
0.6835,0.184594107
0.0529,-0.155360422
0.9021,0.332249579
0.2807,-0.040984745
0.618,0.074082684
0.912,0.48327948
0.317,0.135071001
0.3912,-0.085826021
0.3631,-0.138655583
0.9524,0.43028134
0.9429,0.394544603
0.3479,-0.026941892
0.8747,0.399365044
0.2442,-0.047661812
0.8182,0.223158994
0.2521,-0.044433542
0.7183,0.193599781
0.8381,0.478970352
0.8861,0.553584525
0.1871,-0.152263761
0.868,0.340019335
0.5923,-0.156559702
0.4924,-0.11865998
0.2996,-0.071212734
0.3209,-0.146535032
0.6464,0.032782599
0.8538,0.283617325
0.4541,0.025113493
0.5836,0.081565652
0.6146,0.032686877
0.6148,-0.206364862
0.112,0.078063261
0.7604,0.16066194
0.7985,0.317229466
0.9318,0.497590019
0.4816,-0.005468687
0.0155,0.081605329
0.033,-0.059559402
0.2835,-0.040247516
0.1423,-0.042302572
0.5704,-0.010831524
0.873,0.278813598
0.5045,-0.102928017
0.591,-0.044341588
0.3791,-0.136247682
0.5173,0.172536558
0.6331,0.072698769
0.86,0.386822761
0.6292,0.003133034
0.9867,0.642135029
0.8274,0.195758236
0.6009,0.164588108
0.6689,-0.028504329
0.2002,-0.118925286
0.0957,0.127889951
0.1912,-0.102168411
0.6662,0.233125806
0.9035,0.382523901
0.1139,-0.045382953
0.1863,-0.052743992
0.5401,-0.060838343
0.7076,-0.140149052
0.4156,-0.07942262
0.6518,0.150339094
0.3666,0.079751246
0.998,0.558272968
0.7139,-0.099583259
0.1959,-0.132896217
0.4122,-0.134759997
0.4514,-0.103841951
0.0054,0.036551604
0.7404,0.550491334
0.7746,0.18608996
0.959,0.579354049
0.122,0.021796819
0.8582,0.243877669
0.6504,0.21748466
0.2755,-0.051177608
0.5159,0.044575269
0.3679,-0.153359142
0.872,0.499237652
0.0904,-0.139694935
0.4374,-0.067291987
0.7917,0.119920742
0.8051,0.204920717
0.2736,-0.187202528
0.3714,-0.193423821
0.3841,-0.048070811
0.6184,0.225581012
0.1896,-0.069614454
0.5,-0.082476188
0.7602,0.2594095
0.8169,0.392127807
0.0442,0.096053328
0.5805,0.090918684
0.6553,0.106763019
0.1489,0.047722462
0.353,-0.0330835
0.7449,0.211380745
0.3202,-0.214526748
0.7768,0.045235422
0.9983,0.629837048
0.6203,0.094161946
0.2522,-0.069965801
0.4907,0.078130682
0.1684,-0.087596474
0.9715,0.56833097
0.2923,0.029410193
0.951,0.374033642
0.0758,-0.066787431
0.6098,0.049712269
0.1028,-0.031852574
0.6322,0.039685426
0.1811,-0.044748315
0.1861,0.06445604
0.11,-0.061970476
0.2357,-0.049613338
0.0724,0.02091932
0.3121,0.072029427
0.1698,0.026115659
0.7293,0.165753326
0.3698,-0.041080673
0.2535,-0.06075326
0.7439,0.273287792
0.7751,0.264869477
0.9566,0.505806566
0.1595,0.031323531
0.7164,-0.108310272
0.8506,0.320266308
0.703,0.020023782
0.3713,0.032335922
0.5005,-0.013971673
0.0601,0.280294905
0.0771,-0.114001184
0.3346,-0.064315902
0.7227,-0.003536033
0.3733,-0.071304331
0.5152,0.002863615
0.7107,0.135577599
0.9537,0.42844451
0.8189,0.366867126
0.2704,-0.165623825
0.8788,0.439163888
0.1629,-0.210396294
0.2635,-0.100166532
0.7645,0.285486862
0.1575,0.128998043
0.9179,0.42880659
0.1967,-0.067788667
0.4941,-0.080780532
0.2455,0.074020865
0.925,0.405194899
0.2725,-0.012173966
0.7299,0.069892541
0.3349,-0.166628986
0.4288,0.115456795
0.7339,0.248536728
0.1157,-0.052081578
0.5131,-0.060641265
0.136,-0.068722397
0.3169,0.107998298
0.0821,-0.183410664
0.7564,0.421965401
0.0642,-0.14101666
0.7791,0.36461848
0.9641,0.415353393
0.4059,-0.276130326
0.2955,-0.072230057
0.1583,-0.065779331
0.0767,-0.058673179
0.284,-0.172305782
0.7536,0.145489299
0.3726,-0.131904338
0.2746,-0.023756848
0.654,-0.034509425
0.3439,-0.108187617
0.0662,0.000644433
0.1369,-0.028140968
0.5554,-0.044138991
0.988,0.690257665
0.0822,-0.051756819
0.2272,-0.199552899
0.2703,0.025402595
0.5209,0.003331541
0.8034,0.357867821
0.6167,-0.07100447
0.7085,0.158714814
0.083,0.082177817
0.8583,0.404158509
0.5109,0.008004324
0.7775,0.100567225
0.7141,0.086240084
0.2965,-0.063861902
0.2896,-0.18922609
0.2903,-0.181194252
0.2667,0.018756385
0.4462,0.024318447
0.0674,-0.152264663
0.7806,0.150383217
0.0478,0.134212514
0.9411,0.605480698
0.505,-0.080488902
0.0861,-0.030810585
0.4636,0.013517692
0.9732,0.587298955
0.3673,-0.092351686
0.5708,0.051769069
0.8326,0.270753672
0.896,0.343399226
0.9886,0.704921646
0.2264,-0.018862067
0.714,-0.035798379
0.6405,0.017929156
0.5603,-0.136863917
0.9132,0.438247654
0.9894,0.593674499
0.7391,0.174138696
0.9098,0.423878509
0.4597,-0.227402873
0.8665,0.323216986
0.3893,0.032785537
0.7975,0.306925368
0.9843,0.544597623
0.2548,0.041708253
0.197,0.072119014
0.7187,-0.019135697
0.5706,0.010983778
0.0952,0.107010858
0.5852,0.073784712
0.5208,0.04472502
0.8301,0.203034093
0.0915,0.020264601
0.3878,-0.036169406
0.55,-0.085261468
0.4986,-0.014698882
0.948,0.447845455
0.601,-0.289626063
0.1854,0.013642956
0.7894,0.365858325
0.8768,0.320267456
0.8057,0.36850323
0.5281,-0.247522419
0.8546,0.420001681
0.7666,0.308713353
0.0256,0.008310764
0.1092,0.117181448
0.3284,-0.282898242
0.5139,-0.097604692
0.7123,0.217847999
0.8512,0.360295232
0.9354,0.477431731
0.1435,0.055970374
0.4211,-0.170298037
0.3444,0.00207532
0.5219,-0.045264557
0.6371,-0.021265458
0.3451,0.020933881
0.4959,0.114440656
0.3474,0.102424404
0.376,-0.112924298
0.3293,-0.002920667
0.8798,0.324082508
0.2541,-0.023060106
0.4175,-0.157312457
0.9466,0.50087262
0.8275,0.297758882
0.6427,0.039659611
0.9996,0.582011782
0.4707,-0.016944006
0.5249,-0.043341846
0.8084,0.231231609
0.6281,-0.084599399
0.4065,-0.221232053
0.5884,0.05530179
0.2026,-0.09505231
0.4844,-0.044880382
0.4376,0.048831629
0.6698,-0.072346398
0.7096,0.109907965
0.6951,0.133296675
0.8941,0.293789441
0.0146,-0.062049484
0.2676,0.01125415
0.9374,0.441835606
0.6362,0.000133523
0.2004,0.03058472
0.547,0.05246617
0.8526,0.321949974
0.3593,-0.116221033
0.4245,-0.04418798
0.2689,-0.16537115
0.5865,0.033304666
0.9137,0.617833811
0.5851,-0.160789821
0.5213,-0.254432894
0.5739,-0.028126577
0.5565,-0.210243573
0.0623,-0.016529337
0.6705,0.063710791
0.7157,0.09129656
0.2387,0.003924038
0.2389,-0.122684881
0.6635,-0.13754676
0.391,-0.072988631
0.4752,-0.008971955
0.4106,-0.071815694
0.4453,-0.108832972
0.533,-0.08324666
0.3906,-0.145104966
0.6412,-0.051340277
0.0391,-0.061547638
0.1591,-0.098095317
0.1827,-0.154885413
0.6525,0.007840973
0.6164,0.064051338
0.6326,0.103410179
0.2625,0.115059774
0.8278,0.337630726
0.3024,0.045596538
0.1822,0.017753175
0.4155,-0.114546491
0.6061,0.019869153
0.0532,-0.209570112
0.1551,0.107941884
0.0383,-0.021739813
0.7381,0.137152839
0.908,0.409109451
0.1913,-0.201586107
0.6524,0.187890405
0.292,0.026920112
0.5935,0.038627541
0.9236,0.457542115
0.2949,-0.154053279
0.1662,0.099564543
0.7318,0.018462011
0.5231,-0.065414571
0.5945,0.002919276
0.7565,0.187846756
0.0976,-0.036866755
0.1778,-0.047949293
0.657,0.134808089
0.0867,-0.047994369
0.8478,0.355356615
0.606,-0.10542572
0.3838,-0.173087928
0.4508,-0.041211675
0.6469,0.086289133
0.0116,0.021954428
0.5448,0.018467932
0.4415,0.04712542
0.7321,0.061807497
0.1443,-0.122167181
0.0949,-0.021877866
0.2326,-0.042162073
0.2259,0.012413179
0.5092,-0.12501061
0.6391,0.127999453
0.1066,-0.048606403
0.6646,0.022564832
0.2893,0.083419326
0.8171,0.303478521
0.6183,0.044801988
0.1582,0.014900877
0.3663,0.098098238
0.2067,-0.138104281
0.4921,-0.049611757
0.4829,-0.250850091
0.2368,0.002159504
0.6076,0.086249982
0.6799,-0.145360395
0.5119,-0.199616807
0.1054,0.116239562
0.1976,-0.219809935
0.8504,0.368720809
0.9972,0.576620161
0.2378,0.056699098
0.7976,0.106993734
0.8377,0.140030694
0.9234,0.45482696
0.3855,-0.189474523
0.6217,0.145015991
0.6319,0.021805773
0.7408,0.052456296
0.8303,0.181360012
0.1207,0.064720026
0.9281,0.519839111
0.4529,-0.058089529
0.2976,-0.032797614
0.9503,0.394817723
0.8869,0.396124473
0.2836,-0.064069723
0.4147,-0.01295558
0.842,0.308120469
0.2921,0.175177922
0.165,0.054805351
0.3183,-0.210717254
0.3916,-0.118500916
0.5592,0.003859859
0.53,0.05136225
0.265,-0.084291999
0.1476,0.03591483
0.2775,-0.067023624
0.8956,0.460795689
0.4137,-0.124383776
0.1445,-0.110255313
0.716,0.179184171
0.2117,-0.174136151
0.7682,0.44051422
0.8068,0.259196563
0.1926,-0.082698302
0.7575,0.093794578
0.3087,-0.020357045
0.0289,0.070803905
0.6992,0.094762891
0.2338,-0.064620989
0.0459,-0.052089854
0.1585,-0.212290235
0.8469,0.308024978
0.9668,0.589784492
0.2033,-0.086505426
0.9405,0.575551738
0.1651,0.042650712
0.5975,-0.065297134
0.3624,0.011378032
0.4301,-0.104550427
0.726,-0.041219097
0.8243,0.144769215
0.2559,-0.143731211
0.0069,-0.062167864
0.7704,0.247575607
0.9313,0.504220369
0.0177,0.028983564
0.5097,-0.102122084
0.9543,0.592000697
0.2813,0.111284285
0.3694,-0.00342218
0.0402,-0.083189296
0.5488,0.035612798
0.2351,-0.118558906
0.1387,-0.062676816
0.554,0.129079925
0.6145,-0.040676968
0.6348,-0.035127563
0.4259,-0.044513111
0.0552,-0.046179385
0.4196,-0.13546122
0.5184,-0.158697576
0.9656,0.491009079
0.3311,0.020183219
0.9789,0.444657002
0.8462,0.370820436
0.3197,-0.0949832
0.061,-0.052186442
0.7028,0.193802661
0.8388,0.343366135
0.1327,0.079540985
0.301,-0.08672335
0.0219,-0.055083043
0.3734,0.155478448
0.3737,-0.171678699
0.0302,0.152307926
0.574,0.003307346
0.8775,0.268948714
0.8997,0.436957197
0.3934,-0.261957852
0.969,0.459451475
0.0812,0.030441973
0.8161,0.238704329
0.0296,0.069750544
0.3747,-0.0752692
0.2538,-0.128996524
0.4194,-0.065323117
0.5394,-0.077039019
0.9446,0.417935343
0.044,0.077296957
0.9128,0.363588385
0.0992,0.074833994
0.2488,-0.10394856
0.8338,0.326798321
0.5416,-0.012382572
0.9745,0.587387589
0.762,0.183298831
0.9027,0.394892071
0.6609,0.213371271
0.1447,-0.16959019
0.3215,-0.024352601
0.2797,-0.065888255
0.6016,-0.075763253
0.5108,-0.249603874
0.3994,-0.015998726
0.7238,0.129921677
0.8503,0.062810855
0.027,0.167277359
0.4659,-0.000148745
0.0444,-0.021352359
0.3468,-0.044791976
0.0774,0.048817303
0.3403,-0.126114665
0.0342,0.050658319
0.5654,0.159305972
0.6103,-0.061593933
0.2665,-0.033967758
0.3044,0.000228862
0.3922,-0.008657697
0.9341,0.375221157
0.1626,0.008480487
0.4988,-0.044511824
0.6226,0.030710723
0.9235,0.551030552
0.7782,0.251338776
0.0429,0.003309355
0.0266,-0.250141721
0.2793,-0.192868477
0.7054,0.160401101
0.2039,-0.125261751
0.6278,-0.044045959
0.0804,0.034093765
0.8096,0.38583911
0.3095,-0.044143739
0.6568,0.083139445
0.3483,-0.065301695
0.7068,0.11013233
0.3341,0.000323683
0.0879,-0.031008765
0.394,0.069237293
0.881,0.511574061
0.7505,0.132632521
0.237,0.161630852
0.5829,0.120358809
0.4486,-0.053582933
0.3189,-0.091495791
0.4331,-0.081259843
0.9202,0.643788521
0.8658,0.30399362
0.8143,0.351978552
0.9565,0.359428098
0.0349,0.19303064
0.9766,0.699785791
0.656,0.269408725
0.8059,0.325200079
0.0281,-0.066970764
0.9074,0.562900996
0.4964,-0.062221299
0.2618,0.07721184
0.6085,0.199266534
0.5126,-0.227078742
0.9159,0.314366873
0.4563,-0.012664353
0.6021,-0.016821537
0.239,-0.127436205
0.4141,-0.086521757
0.6715,0.040324803
0.6478,-0.205555575
0.9338,0.629499136
0.2437,-0.153231541
0.6462,0.112899046
0.8654,0.372137188
0.0616,0.092202177
0.1819,-0.014089915
0.6486,0.090031969
0.5553,0.176169166
0.0575,0.09524356
0.5576,-0.115357687
0.2312,-0.334564392
0.2107,0.123397064
0.295,-0.172797604
0.6025,0.0736216
0.1898,0.037612572
0.7863,0.154443085
0.8731,0.184938711
0.2182,-0.239951884
0.3738,-0.199685065
0.559,-0.003932122
0.5306,0.05030315
0.9304,0.604883669
0.2101,-0.050587719
0.728,-0.137213436
0.7011,0.138422715
0.3969,-0.030096967
0.6357,0.039824872
0.9251,0.391788323
0.1887,-0.039676621
0.6204,-0.074809564
0.9723,0.32791335
0.3023,-0.161707013
0.2524,-0.006951934
0.9838,0.461628611
0.9489,0.458574318
0.545,0.022724713
0.1774,0.02596059
0.6781,0.012007685
0.8792,0.417572077
0.626,0.134713459
0.3062,0.142808359
0.6985,0.241556966
0.4392,0.025451206
0.4363,-0.026097172
0.4063,-0.002269776
0.4795,-0.097307224
0.4804,-0.122720219
0.4642,0.014396283
0.6913,0.089430071
0.0797,0.131105884
0.1183,0.087092303
0.0398,0.005067518
0.9072,0.431523409
0.0731,-0.098616843
0.4404,-0.016343957
0.6631,0.088237912
0.4639,-0.297835073
0.2,-0.133382549
0.3151,-0.073866725
0.7689,0.187147212
0.5026,0.184868819
0.0091,0.089388047
0.8479,0.340513408
0.7632,0.111699888
0.1999,-0.215988275
0.9553,0.336319897
0.4394,-0.057535278
0.6013,-0.051997821
0.1588,-0.08410156
0.0593,-0.168106663
0.6208,-0.052884068
0.9071,0.420554515
0.0327,0.02166855
0.2397,-0.144528478
0.4094,-0.006509331
0.8019,0.366199368
0.1294,-0.000416521
0.2443,0.125982117
0.7375,0.155293823
0.4791,-0.128884934
0.7562,-0.070279249
0.8073,0.287467142
0.835,0.176354344
0.8156,0.253369794
0.9001,0.455068762
0.0384,-0.045246662
0.5163,-0.255033003
0.0202,-0.009267461
0.5672,0.04762207
0.5969,0.019825699
0.357,-0.239536771
0.3883,-0.131500606
0.6223,0.291319792
0.0857,0.037970484
0.8237,0.322064369
0.8271,0.353744811
0.0892,-0.042581724
0.7218,0.135965008
0.7896,0.213947398
0.9507,0.450955438
0.4891,0.035413179
0.8339,0.301933074
0.7217,0.160995322
0.2959,-0.130817201
0.9741,0.653178304
0.3642,-0.077780457
0.5887,0.081464665
0.3049,-0.074233116
0.1635,-0.132102813
0.4182,-0.042414404
0.4188,-0.022932011
0.4439,-0.030596644
0.4101,0.130884132
0.0496,-0.131746728
0.3205,-0.061853079
0.9598,0.39128558
0.9081,0.392745016
0.5474,0.345167794
0.7813,0.21620417
0.2192,-0.084368748
